Region,ID,Name,WSP info,RRP info,Data (GB),Validity (Days),Wi-Fi Hotspot,Traffic Policy
  Afghanistan,42ESAX0VHKIF,Afghanistan 10GB - 10 Days,39.99  $,53.99  $,10,10,Yes,Limit - Maximum Data 10GB
  Afghanistan,PFZJBB5FO0EK,Afghanistan 10GB - 15 Days,42.19  $,54.99  $,10,15,Yes,Limit - Maximum Data 10GB
  Afghanistan,R1NVJFLG1HT2,Afghanistan 10GB - 30 Days,43.99  $,58.99  $,10,30,Yes,Limit - Maximum Data 10GB
  Afghanistan,LC0WZMQLPFHQ,Afghanistan 10GB - 5 Days,35.99  $,52.99  $,10,5,Yes,Limit - Maximum Data 10GB
  Afghanistan,JPRCHC29FKSB,Afghanistan 1GB - 10 Days,6.77  $,9.99  $,1,10,Yes,Limit - Maximum Data 1GB
  Afghanistan,QEOPPX0SVAHG,Afghanistan 1GB - 15 Days,7.14  $,9.99  $,1,15,Yes,Limit - Maximum Data 1GB
  Afghanistan,OUKUTR7ZMGDQ,Afghanistan 1GB - 30 Days,7.45  $,12.99  $,1,30,Yes,Limit - Maximum Data 1GB
  Afghanistan,XYBL2VAXHZ7U,Afghanistan 1GB - 5 Days,6.09  $,8.99  $,1,5,Yes,Limit - Maximum Data 1GB
  Afghanistan,TM2LSG3ASAFR,Afghanistan 3GB - 10 Days,15.53  $,19.99  $,3,10,Yes,Limit - Maximum Data 3GB
  Afghanistan,GITL7VTQ4LUN,Afghanistan 3GB - 15 Days,16.38  $,19.99  $,3,15,Yes,Limit - Maximum Data 3GB
  Afghanistan,3FNAJWA6VLGK,Afghanistan 3GB - 30 Days,17.08  $,22.99  $,3,30,Yes,Limit - Maximum Data 3GB
  Afghanistan,DSVFFNFJR6Q4,Afghanistan 3GB - 5 Days,13.98  $,18.99  $,3,5,Yes,Limit - Maximum Data 3GB
  Afghanistan,BP5VZJFRJBUK,Afghanistan 5GB - 10 Days,23.17  $,33.99  $,5,10,Yes,Limit - Maximum Data 5GB
  Afghanistan,VB71JORD8HXZ,Afghanistan 5GB - 15 Days,24.44  $,34.99  $,5,15,Yes,Limit - Maximum Data 5GB
