Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
zambia,Zambia,"<p>Travel eSIM data plan for Zambia.</p>
<p>Si vous possédez déjà une eSIM de chez nous, cet achat sera ajouté à votre eSIM existante sous forme de recharge. S’il s’agit de votre premier achat, nous vous enverrons votre code QR par courriel après la confirmation de votre paiement.</p>",Quebec eSIM,,eSIM,"eSIM, Telna, Zambia",false,Plan,1GB / 5 Days,,,,,,,,TELNA-ZAMBIA-1GB-5D,0.0,,0,deny,manual,4.99,,false,false,,,,,,,,,false,,,,kg,,,active
zambia,,,,,,,,,1GB / 10 Days,,,,,,,,TELNA-ZAMBIA-1GB-10D,0.0,,0,deny,manual,5.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,1GB / 15 Days,,,,,,,,TELNA-ZAMBIA-1GB-15D,0.0,,0,deny,manual,6.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,1GB / 30 Days,,,,,,,,TELNA-ZAMBIA-1GB-30D,0.0,,0,deny,manual,8.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,3GB / 5 Days,,,,,,,,TELNA-ZAMBIA-3GB-5D,0.0,,0,deny,manual,13.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,3GB / 10 Days,,,,,,,,TELNA-ZAMBIA-3GB-10D,0.0,,0,deny,manual,14.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,3GB / 15 Days,,,,,,,,TELNA-ZAMBIA-3GB-15D,0.0,,0,deny,manual,14.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,3GB / 30 Days,,,,,,,,TELNA-ZAMBIA-3GB-30D,0.0,,0,deny,manual,17.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,5GB / 5 Days,,,,,,,,TELNA-ZAMBIA-5GB-5D,0.0,,0,deny,manual,23.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,5GB / 10 Days,,,,,,,,TELNA-ZAMBIA-5GB-10D,0.0,,0,deny,manual,24.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,5GB / 15 Days,,,,,,,,TELNA-ZAMBIA-5GB-15D,0.0,,0,deny,manual,24.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,5GB / 30 Days,,,,,,,,TELNA-ZAMBIA-5GB-30D,0.0,,0,deny,manual,27.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,10GB / 5 Days,,,,,,,,TELNA-ZAMBIA-10GB-5D,0.0,,0,deny,manual,40.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,10GB / 10 Days,,,,,,,,TELNA-ZAMBIA-10GB-10D,0.0,,0,deny,manual,41.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,10GB / 15 Days,,,,,,,,TELNA-ZAMBIA-10GB-15D,0.0,,0,deny,manual,42.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,10GB / 30 Days,,,,,,,,TELNA-ZAMBIA-10GB-30D,0.0,,0,deny,manual,46.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,20GB / 5 Days,,,,,,,,TELNA-ZAMBIA-20GB-5D,0.0,,0,deny,manual,60.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,20GB / 10 Days,,,,,,,,TELNA-ZAMBIA-20GB-10D,0.0,,0,deny,manual,61.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,20GB / 15 Days,,,,,,,,TELNA-ZAMBIA-20GB-15D,0.0,,0,deny,manual,62.99,,false,false,,,,,,,,,,,,,kg,,,
zambia,,,,,,,,,20GB / 30 Days,,,,,,,,TELNA-ZAMBIA-20GB-30D,0.0,,0,deny,manual,66.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,Vietnam,"<p>Travel eSIM data plan for Vietnam.</p>
<p>Si vous possédez déjà une eSIM de chez nous, cet achat sera ajouté à votre eSIM existante sous forme de recharge. S’il s’agit de votre premier achat, nous vous enverrons votre code QR par courriel après la confirmation de votre paiement.</p>",Quebec eSIM,,eSIM,"eSIM, Telna, Vietnam",false,Plan,1GB / 5 Days,,,,,,,,TELNA-VIETNAM-1GB-5D,0.0,,0,deny,manual,4.99,,false,false,,,,,,,,,false,,,,kg,,,active
vietnam,,,,,,,,,1GB / 10 Days,,,,,,,,TELNA-VIETNAM-1GB-10D,0.0,,0,deny,manual,5.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,1GB / 15 Days,,,,,,,,TELNA-VIETNAM-1GB-15D,0.0,,0,deny,manual,6.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,1GB / 30 Days,,,,,,,,TELNA-VIETNAM-1GB-30D,0.0,,0,deny,manual,8.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,3GB / 5 Days,,,,,,,,TELNA-VIETNAM-3GB-5D,0.0,,0,deny,manual,8.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,3GB / 10 Days,,,,,,,,TELNA-VIETNAM-3GB-10D,0.0,,0,deny,manual,9.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,3GB / 15 Days,,,,,,,,TELNA-VIETNAM-3GB-15D,0.0,,0,deny,manual,9.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,3GB / 30 Days,,,,,,,,TELNA-VIETNAM-3GB-30D,0.0,,0,deny,manual,12.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,5GB / 5 Days,,,,,,,,TELNA-VIETNAM-5GB-5D,0.0,,0,deny,manual,11.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,5GB / 10 Days,,,,,,,,TELNA-VIETNAM-5GB-10D,0.0,,0,deny,manual,12.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,5GB / 15 Days,,,,,,,,TELNA-VIETNAM-5GB-15D,0.0,,0,deny,manual,13.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,5GB / 30 Days,,,,,,,,TELNA-VIETNAM-5GB-30D,0.0,,0,deny,manual,15.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,10GB / 5 Days,,,,,,,,TELNA-VIETNAM-10GB-5D,0.0,,0,deny,manual,21.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,10GB / 10 Days,,,,,,,,TELNA-VIETNAM-10GB-10D,0.0,,0,deny,manual,22.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,10GB / 15 Days,,,,,,,,TELNA-VIETNAM-10GB-15D,0.0,,0,deny,manual,23.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,10GB / 30 Days,,,,,,,,TELNA-VIETNAM-10GB-30D,0.0,,0,deny,manual,25.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,20GB / 5 Days,,,,,,,,TELNA-VIETNAM-20GB-5D,0.0,,0,deny,manual,40.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,20GB / 10 Days,,,,,,,,TELNA-VIETNAM-20GB-10D,0.0,,0,deny,manual,41.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,20GB / 15 Days,,,,,,,,TELNA-VIETNAM-20GB-15D,0.0,,0,deny,manual,42.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,20GB / 30 Days,,,,,,,,TELNA-VIETNAM-20GB-30D,0.0,,0,deny,manual,46.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,Unlimited / 5 Days,,,,,,,,TELNA-VIETNAM-UNLIMITED-5D,0.0,,0,deny,manual,17.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,Unlimited / 10 Days,,,,,,,,TELNA-VIETNAM-UNLIMITED-10D,0.0,,0,deny,manual,24.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,Unlimited / 15 Days,,,,,,,,TELNA-VIETNAM-UNLIMITED-15D,0.0,,0,deny,manual,44.99,,false,false,,,,,,,,,,,,,kg,,,
vietnam,,,,,,,,,Unlimited / 30 Days,,,,,,,,TELNA-VIETNAM-UNLIMITED-30D,0.0,,0,deny,manual,59.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,Venezuela,"<p>Travel eSIM data plan for Venezuela.</p>
<p>Si vous possédez déjà une eSIM de chez nous, cet achat sera ajouté à votre eSIM existante sous forme de recharge. S’il s’agit de votre premier achat, nous vous enverrons votre code QR par courriel après la confirmation de votre paiement.</p>",Quebec eSIM,,eSIM,"eSIM, Telna, Venezuela",false,Plan,1GB / 5 Days,,,,,,,,TELNA-VENEZUELA-1GB-5D,0.0,,0,deny,manual,4.99,,false,false,,,,,,,,,false,,,,kg,,,active
venezuela,,,,,,,,,1GB / 10 Days,,,,,,,,TELNA-VENEZUELA-1GB-10D,0.0,,0,deny,manual,5.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,1GB / 15 Days,,,,,,,,TELNA-VENEZUELA-1GB-15D,0.0,,0,deny,manual,6.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,1GB / 30 Days,,,,,,,,TELNA-VENEZUELA-1GB-30D,0.0,,0,deny,manual,8.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,3GB / 5 Days,,,,,,,,TELNA-VENEZUELA-3GB-5D,0.0,,0,deny,manual,8.99,,false,false,,,,,,,,,,,,,kg,,,
